"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"117",6,6,1,2,1,256,1,1.18202032710546e-10,19283,42,117,1.01459821609115,"GPR"
"118",5,5,1,4,2,128,2,1.2260596387318e-10,12960,24,118,1.05239977160534,"GPR"
"119",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,61,119,1.0761594320093,"GPR"
"120",6,6,1,2,2,128,1,1.18258966570151e-10,16588,118,120,1.01508691320631,"GPR"
"121",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,117,121,1.02697620634826,"GPR"
"122",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,72,122,1.07835653189674,"GPR"
"123",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,113,123,1.01488180994275,"GPR"
"124",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,66,124,1.0761594320093,"GPR"
"125",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,35,125,1.01488180994275,"GPR"
"126",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,80,126,1.04732094092038,"GPR"
"127",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,74,127,1.07835653189674,"GPR"
"128",6,6,1,2,2,256,1,1.17919974204394e-10,17258,93,128,1.01217714049192,"GPR"
"129",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,43,129,1.0761594320093,"GPR"
"130",6,6,1,2,2,256,1,1.17919974204394e-10,17258,111,130,1.01217714049192,"GPR"
"131",6,6,1,4,1,1024,8,1.20545060937111e-10,17594,101,131,1.0347098182727,"GPR"
"132",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,56,132,1.07835653189674,"GPR"
"133",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,62,133,1.0511551928136,"GPR"
"134",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,76,134,1.0761594320093,"GPR"
"135",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,86,135,1.03091776073943,"GPR"
"136",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,96,136,1.04732094092038,"GPR"
"137",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,33,137,1.0761594320093,"GPR"
"138",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,67,138,1.10444396457321,"GPR"
"139",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,88,139,1.04732094092038,"GPR"
"140",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,100,140,1.00979555916616,"GPR"
"141",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,58,141,1.0511551928136,"GPR"
"142",5,5,1,4,2,512,4,1.23323792879451e-10,13216,1,142,1.05856132409746,"GPR"
"143",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,81,143,1.04732094092038,"GPR"
"144",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,107,144,1.03091776073943,"GPR"
"145",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,81,145,1.03091776073943,"GPR"
"146",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,97,146,1.07835653189674,"GPR"
"147",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,103,147,1.0761594320093,"GPR"
"148",12,6,2,2,2,512,4,1.36418442758031e-10,10116,21,148,1.17096047750018,"GPR"
"149",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,75,149,1.02697620634826,"GPR"
"150",6,6,1,2,2,256,1,1.17919974204394e-10,17258,67,150,1.01217714049192,"GPR"
