"","mean","var","varPG","ci","ci_inf","ci_sup","id"
"1",0.0764084906148064,0.0032468653708897,0.000287920143347107,0.111683293328993,-0.0357651028766258,0.194507045504543,1
"2",0.0747066967464072,0.00244777095036965,0.000491850636726796,0.0969709074049534,-0.0220906080218042,0.168875475694556,2
"3",0.0815312812751111,0.00375011191322762,0.000542515001304014,0.120026788367661,-0.0428999121153969,0.195907300590584,3
"4",0.0786490544754541,0.00291344248270809,0.000599965611924275,0.105793575615778,-0.0291575064335195,0.175317847499665,4
"5",0.0812927752465155,0.00237688027028343,0.000491551081669977,0.0955563877839719,-0.0189598334691621,0.170928382420496,5
"6",0.0711757869938266,0.00248630383108754,0.000271786751200267,0.0977311864120451,-0.0158455571457139,0.180558392016493,6
"7",0.0646756931259616,0.00301844946931221,0.000648974861646639,0.107683218197219,-0.0428176596787452,0.17094918201686,7
"8",0.0626560236835624,0.00247904787232478,0.000294026535786455,0.0975884742493849,-0.0281678423780157,0.161361490362858,8
"9",0.0751633278806261,0.00385670327905444,0.00025891757686339,0.121720628148295,-0.0605293480230421,0.171146085498955,9
"10",0.077733536387282,0.00332098164233647,0.000528804760653762,0.112950799365032,-0.0416976729606607,0.187603728060566,10
"11",0.0743864775024041,0.00384400956361487,0.000571877213573709,0.121520151166722,-0.0500043414566294,0.198818305161458,11
"12",0.0791196081600176,0.00308054348483913,0.000525347410255391,0.108785182131382,-0.0309376495960015,0.19465858404936,12
"13",0.0824712514754296,0.0033748791329583,0.00028306185509084,0.113863671454826,-0.0509375997200788,0.206720933794364,13
"14",0.0763481632627773,0.0035304023678286,0.000522314270908489,0.11645769075613,-0.0474669419649649,0.18511966440828,14
"15",0.060553825790467,0.00329910841034338,0.000522477214672186,0.112578216672566,-0.0656785281602635,0.164793380018473,15
"16",0.0602458938825963,0.00314857692012285,0.000567555962127,0.109979875869833,-0.0506146204693935,0.169322895559945,16
"17",0.0562037178104424,0.00373664491617998,0.000471239178346787,0.119811080914901,-0.0645572707965218,0.171340829580082,17
"18",0.0790749461723785,0.00245017463303132,0.00062239449254475,0.0970185078748025,-0.0219310884247676,0.168988727382313,18
"19",0.0746083123327238,0.00342867145998393,0.000527710654992909,0.114767522760902,-0.0453889064458881,0.190123850570908,19
"20",0.0875749562393651,0.0031209675808191,0.000324234334290778,0.109496616653094,-0.0335798745924186,0.201960195978519,20
"21",0.0620030997665803,0.00177968199164152,0.000322981788079909,0.0826851034896255,-0.0265231485303637,0.14087580694934,21
"22",0.0697517897678972,0.00266705072098176,0.000440266018187372,0.101221252954721,-0.0235611918711014,0.189162554413507,22
"23",0.0739346040161379,0.0031475759740309,0.000437782191709036,0.109962392943393,-0.0289653897711828,0.177658751342225,23
"24",0.0868178564873233,0.00262443137972801,0.000566584464653478,0.100409240552666,-0.0187321986171059,0.190691290514355,24
"25",0.0685909423947532,0.00268259985283813,0.000543748161206683,0.101515888385331,-0.0301854455988037,0.171100827737318,25
"26",0.0679744749347289,0.00371466053788876,0.00033243946793115,0.119458109487608,-0.0484133549716267,0.176842654652079,26
"27",0.0785027852619425,0.00362758886919466,0.000489710311446453,0.118049758152646,-0.0404395077232417,0.190802946980671,27
"28",0.0860026929552387,0.00346441901122292,0.000577175785727435,0.115364258215073,-0.0253532561382822,0.206151772689807,28
"29",0.0686072596830579,0.00298057519368732,0.000528055460513263,0.10700550296162,-0.0429556853863775,0.169020432552898,29
"30",0.0813604912773876,0.00321778973083856,0.000254662529203354,0.11118210750831,-0.0320915833438387,0.183088994228351,30
"31",0.076938846238368,0.00300379914175805,0.000249174336137283,0.107421575034896,-0.0401481929617871,0.181030467079457,31
"32",0.0729245517919295,0.00355403808312535,0.000329037182464909,0.116846877151828,-0.0344443028111628,0.187199588147356,32
"33",0.0754565406946449,0.00283352889399335,0.000261585715426138,0.10433256729883,-0.0315479685649143,0.177542094398157,33
"34",0.0654135000171592,0.00300214974500437,0.000498768917534636,0.107392078201368,-0.0366875667671159,0.177963719655803,34
"35",0.0711289717302073,0.00312144546393215,0.000652989271069999,0.109504999402958,-0.0326731668477996,0.18678349156824,35
"36",0.0653862309372627,0.00346671413799353,0.000506732259189934,0.115402465452502,-0.053076014951921,0.181284360977077,36
"37",0.0768132438325145,0.00315754371838143,0.000456860861665074,0.110136369780986,-0.039737999623269,0.184922616676574,37
"38",0.0658223975284258,0.00324536734536408,0.000620764370890303,0.111657526365,-0.0422107434496958,0.173314257865769,38
"39",0.0613849573608185,0.00298558706525082,0.000589090686670038,0.107095430667548,-0.053055394262369,0.163012925527829,39
"40",0.0845129753453903,0.00380754403836685,0.000529552141454271,0.120942387845578,-0.027570005679373,0.20107673301701,40
"41",0.0703152444555041,0.00286189596808981,0.000564487439810116,0.104853514728949,-0.0283274225810004,0.17259528592171,41
"42",0.115803589914174,0.00234851959775981,0.000482763915847205,0.0949845928914478,0.0159987848120866,0.210332932223852,42
"43",0.069956538855272,0.00301055766901002,0.000448297052203781,0.107542356033653,-0.039569159162035,0.179275045183539,43
"44",0.0610262562408036,0.0028505845520017,0.000599490589212862,0.104646096988706,-0.0488331402840374,0.157197590164421,44
"45",0.387816913414772,0.00325905184648202,0.00102148855633638,0.111892687756821,0.284620628524188,0.500357210787867,45
"46",0.0734619278317188,0.00299239988641302,0.000510863492924534,0.107217551751774,-0.0208613486775586,0.182230616848882,46
"47",0.0659276858771302,0.00336845431579974,0.000449924508462539,0.113755237679749,-0.0532478472476801,0.184545714823577,47
