"","elements_number","y_component_number","vector_length","temporary_size","load_overlap","threads_number","lws_y","time_per_pixel","row_number","measurement_order","experiment_id","slowdown","method"
"866",6,6,1,2,2,1024,16,1.20103281224236e-10,13436,84,866,1.03091776073943,"GPR_dampening"
"867",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,52,867,1.02697620634826,"GPR_dampening"
"868",6,6,1,4,1,256,1,1.19886821794317e-10,8697,31,868,1.02905976095368,"GPR_dampening"
"869",6,6,1,2,1,256,1,1.18202032710546e-10,19283,44,869,1.01459821609115,"GPR_dampening"
"870",6,6,1,2,2,256,1,1.17919974204394e-10,17258,43,870,1.01217714049192,"GPR_dampening"
"871",6,6,1,2,1,512,16,1.20895909716785e-10,19695,5,871,1.03772136162616,"GPR_dampening"
"872",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,120,872,1.02697620634826,"GPR_dampening"
"873",6,6,1,4,1,256,1,1.19886821794317e-10,8697,79,873,1.02905976095368,"GPR_dampening"
"874",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,79,874,1.1130112571198,"GPR_dampening"
"875",6,6,1,2,2,256,1,1.17919974204394e-10,17258,48,875,1.01217714049192,"GPR_dampening"
"876",6,6,1,2,2,256,1,1.17919974204394e-10,17258,94,876,1.01217714049192,"GPR_dampening"
"877",6,6,1,2,1,256,1,1.18202032710546e-10,19283,118,877,1.01459821609115,"GPR_dampening"
"878",6,6,1,2,1,1024,1,1.28669181117226e-10,19807,43,878,1.10444396457321,"GPR_dampening"
"879",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,81,879,1.02697620634826,"GPR_dampening"
"880",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,81,880,1.0761594320093,"GPR_dampening"
"881",5,5,1,2,2,512,4,1.180929223999e-10,12450,23,881,1.01366165752275,"GPR_dampening"
"882",6,6,1,2,2,256,1,1.17919974204394e-10,17258,88,882,1.01217714049192,"GPR_dampening"
"883",6,6,1,2,2,1024,4,1.17842155236017e-10,12261,78,883,1.01150917408997,"GPR_dampening"
"884",6,6,1,2,1,256,1,1.18202032710546e-10,19283,74,884,1.01459821609115,"GPR_dampening"
"885",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,60,885,1.01488180994275,"GPR_dampening"
"886",6,6,1,2,1,128,1,1.19599215511143e-10,17604,90,886,1.02659106549089,"GPR_dampening"
"887",6,6,1,2,1,256,1,1.18202032710546e-10,19283,68,887,1.01459821609115,"GPR_dampening"
"888",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,84,888,1.07835653189674,"GPR_dampening"
"889",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,95,889,1.01488180994275,"GPR_dampening"
"890",6,6,1,2,1,1024,8,1.17642516833282e-10,19494,89,890,1.00979555916616,"GPR_dampening"
"891",6,6,1,2,2,1024,1,1.25629960742448e-10,14403,92,891,1.07835653189674,"GPR_dampening"
"892",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,104,892,1.02697620634826,"GPR_dampening"
"893",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,88,893,1.04732094092038,"GPR_dampening"
"894",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,83,894,1.0511551928136,"GPR_dampening"
"895",24,6,1,2,2,128,1,1.45516832088172e-10,6925,88,895,1.24905735427952,"GPR_dampening"
"896",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,73,896,1.0761594320093,"GPR_dampening"
"897",6,6,1,4,1,1024,2,1.18717485534039e-10,15493,42,897,1.01902265366809,"GPR_dampening"
"898",5,5,1,2,2,1024,8,1.25213701500642e-10,10194,2,898,1.0747835317166,"GPR_dampening"
"899",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,108,899,1.01488180994275,"GPR_dampening"
"900",6,6,1,4,1,1024,1,1.25373995702647e-10,19156,57,900,1.0761594320093,"GPR_dampening"
"901",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,120,901,1.01488180994275,"GPR_dampening"
"902",6,6,1,2,2,1024,8,1.18235071768955e-10,9305,96,902,1.01488180994275,"GPR_dampening"
"903",6,6,1,2,2,128,1,1.18258966570151e-10,16588,108,903,1.01508691320631,"GPR_dampening"
"904",6,6,1,4,1,256,1,1.19886821794317e-10,8697,30,904,1.02905976095368,"GPR_dampening"
"905",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,39,905,1.1130112571198,"GPR_dampening"
"906",5,5,1,2,2,512,8,1.18628082806223e-10,14812,19,906,1.01825525698231,"GPR_dampening"
"907",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,45,907,1.0511551928136,"GPR_dampening"
"908",6,6,1,4,1,1024,16,1.22460968799545e-10,13283,62,908,1.0511551928136,"GPR_dampening"
"909",6,6,1,4,2,1024,16,1.22014273387987e-10,18743,56,909,1.04732094092038,"GPR_dampening"
"910",6,6,1,2,1,1024,16,1.19644084929894e-10,12727,69,910,1.02697620634826,"GPR_dampening"
"911",6,6,1,2,2,256,1,1.17919974204394e-10,17258,100,911,1.01217714049192,"GPR_dampening"
"912",6,6,1,4,2,1024,1,1.29667282018423e-10,19245,81,912,1.1130112571198,"GPR_dampening"
