y,x,measured,cost,technique,date,mag_x,mag_y
10,10,false,NaN,initialization,2019-08-07T16:00:43.212,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.058,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
10,10,false,NaN,initialization,2019-08-07T16:00:44.48,1e-5,1e-5
